"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2018-08-05T18:02:36.165+05:30[Asia/Calcutta]","0.0","5.95"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2018-08-05T18:02:43.863+05:30[Asia/Calcutta]","0.0","0.57"
